id,age,job,marital,education,balance,housing,contact,day,duration,pdays,poutcome
74,41,services,married,tertiary,412,yes,unknown,2015/2/4,154,-1,unknown
75,56,retired,married,secondary,344,yes,unknown,2015/2/5,221,-1,unknown
76,54,management,divorced,tertiary,3222,no,cellular,2015/2/6,67,-1,unknown
77,41,blue-collar,divorced,secondary,174,yes,cellular,2015/2/7,367,297,other
78,40,technician,single,secondary,591,no,cellular,2015/2/8,87,-1,unknown
79,50,blue-collar,divorced,primary,388,no,cellular,2015/2/9,701,-1,unknown
80,40,unemployed,married,secondary,219,yes,cellular,2015/2/10,204,196,failure
81,27,admin.,divorced,secondary,451,yes,cellular,2015/2/11,652,-1,unknown
82,60,retired,married,primary,5,no,cellular,2015/2/12,63,-1,unknown
83,28,admin.,single,secondary,177,yes,cellular,2015/2/13,150,-1,unknown
84,52,services,married,secondary,657,no,telephone,2015/2/14,398,460,failure
85,37,management,married,tertiary,1315,no,cellular,2015/2/15,224,-1,unknown
86,51,blue-collar,married,primary,1466,yes,unknown,2015/2/16,406,-1,unknown
87,41,technician,single,secondary,879,no,cellular,2015/2/17,60,-1,unknown
88,35,blue-collar,single,primary,293,yes,unknown,2015/2/18,521,-1,unknown
89,38,admin.,married,secondary,424,yes,cellular,2015/2/19,279,-1,unknown
90,34,blue-collar,married,secondary,1831,yes,unknown,2015/2/20,203,-1,unknown
91,39,blue-collar,married,primary,111,no,cellular,2015/1/23,201,-1,unknown
92,34,blue-collar,married,primary,455,yes,unknown,2015/1/24,372,-1,unknown
93,27,services,single,secondary,-195,yes,cellular,2015/1/25,391,-1,unknown
94,32,management,single,tertiary,3616,no,cellular,2015/1/26,165,-1,unknown
95,57,blue-collar,married,secondary,14093,no,cellular,2015/1/27,231,-1,unknown
96,41,unknown,single,tertiary,1567,no,cellular,2015/1/28,291,-1,unknown
97,41,admin.,married,tertiary,5426,yes,unknown,2015/1/29,149,-1,unknown
98,30,admin.,single,tertiary,261,no,cellular,2015/1/30,233,137,failure
99,36,blue-collar,divorced,secondary,2843,no,cellular,2015/1/31,473,182,success
100,31,unemployed,single,primary,406,no,cellular,2015/2/1,736,-1,unknown
101,36,blue-collar,married,secondary,0,yes,unknown,2015/2/2,337,-1,unknown
102,38,management,single,tertiary,493,yes,cellular,2015/2/3,553,367,failure
103,49,technician,married,secondary,5996,no,telephone,2015/2/4,345,-1,unknown
104,57,services,single,primary,3777,yes,telephone,2015/2/5,65,-1,unknown
105,34,management,single,secondary,524,no,unknown,2015/2/6,9,-1,unknown
106,32,management,single,tertiary,574,yes,cellular,2015/2/7,259,145,failure
107,37,blue-collar,married,secondary,427,yes,unknown,2015/2/8,371,-1,unknown
108,33,self-employed,married,tertiary,483,yes,cellular,2015/2/9,280,-1,unknown
109,56,unemployed,married,primary,3391,no,cellular,2015/2/10,243,-1,unknown
110,27,housemaid,married,primary,0,yes,cellular,2015/2/11,435,-1,unknown
111,21,student,single,secondary,2488,no,cellular,2015/2/12,258,169,success
112,58,management,married,tertiary,1517,yes,telephone,2015/2/13,7,-1,unknown
113,32,self-employed,married,secondary,217,yes,cellular,2015/2/14,317,-1,unknown
114,33,blue-collar,single,secondary,22,no,cellular,2015/2/15,76,207,failure
115,25,student,single,secondary,331,no,telephone,2015/2/16,170,-1,unknown
116,25,technician,single,secondary,505,no,cellular,2015/2/17,386,-1,unknown
117,30,services,married,secondary,1808,yes,cellular,2015/2/18,83,-1,unknown
118,22,admin.,single,secondary,4111,no,cellular,2015/2/19,65,-1,unknown
119,39,blue-collar,married,primary,52,no,cellular,2015/2/20,69,-1,unknown
120,46,management,divorced,tertiary,25,no,unknown,2015/2/21,564,-1,unknown
121,31,admin.,divorced,secondary,1890,yes,cellular,2015/2/22,588,-1,unknown
122,45,blue-collar,married,primary,419,no,cellular,2015/2/23,113,-1,unknown
123,32,technician,married,secondary,2693,yes,unknown,2015/2/24,16,-1,unknown
124,36,blue-collar,married,secondary,-231,no,cellular,2015/2/25,779,-1,unknown
125,51,management,single,tertiary,-55,yes,cellular,2015/2/26,281,266,failure
126,34,self-employed,single,tertiary,462,no,cellular,2015/2/27,1877,-1,unknown
127,24,unemployed,single,secondary,119,no,unknown,2015/2/28,51,-1,unknown
128,45,technician,single,secondary,586,no,cellular,2015/3/1,32,-1,unknown
129,32,blue-collar,single,secondary,228,no,telephone,2015/3/2,176,288,failure
130,77,retired,divorced,tertiary,4659,no,cellular,2015/3/3,161,-1,unknown
131,41,blue-collar,married,primary,168,yes,cellular,2015/3/4,187,-1,unknown
132,37,blue-collar,married,primary,0,yes,unknown,2015/3/5,24,-1,unknown
133,43,blue-collar,married,unknown,-715,yes,unknown,2015/3/6,67,-1,unknown
134,48,admin.,married,unknown,0,yes,cellular,2015/3/7,85,168,failure
135,27,technician,single,secondary,769,yes,unknown,2015/1/23,317,-1,unknown
136,33,management,single,tertiary,0,no,cellular,2015/1/24,236,-1,unknown
137,29,admin.,single,secondary,428,yes,cellular,2015/1/25,54,345,failure
138,34,management,single,tertiary,0,no,cellular,2015/1/26,71,-1,unknown
139,52,management,married,tertiary,-970,yes,cellular,2015/1/27,489,-1,unknown
140,60,management,married,unknown,6313,no,unknown,2015/1/28,39,-1,unknown
141,32,management,divorced,tertiary,948,no,cellular,2015/1/29,204,-1,unknown
142,32,management,single,tertiary,0,yes,cellular,2015/1/30,455,-1,unknown
143,56,services,divorced,unknown,1877,yes,unknown,2015/1/31,86,-1,unknown
144,31,management,single,tertiary,874,yes,cellular,2015/2/1,190,-1,unknown
145,42,admin.,married,secondary,323,yes,unknown,2015/2/2,280,-1,unknown
146,35,management,married,tertiary,106,no,cellular,2015/2/3,588,-1,unknown
147,56,retired,married,primary,1906,no,unknown,2015/2/4,45,-1,unknown
148,48,technician,married,secondary,1152,yes,cellular,2015/2/5,168,-1,unknown
149,46,admin.,married,secondary,179,yes,cellular,2015/2/6,194,436,other
150,37,technician,single,unknown,391,yes,unknown,2015/2/7,103,-1,unknown
151,41,entrepreneur,married,unknown,89,yes,unknown,2015/2/8,333,-1,unknown
152,36,management,single,tertiary,442,yes,cellular,2015/2/9,102,-1,unknown
153,45,unemployed,divorced,primary,-249,yes,unknown,2015/2/10,92,-1,unknown
154,55,entrepreneur,married,secondary,8104,no,cellular,2015/2/11,213,-1,unknown
155,39,technician,married,secondary,501,no,unknown,2015/2/12,289,-1,unknown
156,35,technician,divorced,secondary,308,no,cellular,2015/2/13,77,-1,unknown
157,55,admin.,married,secondary,602,no,cellular,2015/2/14,324,90,success
158,55,technician,married,secondary,273,yes,cellular,2015/2/15,84,183,failure
159,27,self-employed,single,secondary,50,no,cellular,2015/2/16,168,-1,unknown
160,34,technician,married,secondary,1641,yes,cellular,2015/2/17,380,-1,unknown
161,34,blue-collar,married,tertiary,20,no,unknown,2015/2/18,10,-1,unknown
162,25,admin.,single,secondary,4590,yes,unknown,2015/2/19,199,-1,unknown
163,41,admin.,single,secondary,-256,no,unknown,2015/2/20,35,-1,unknown
164,43,services,married,secondary,978,yes,unknown,2015/2/21,82,-1,unknown
165,28,management,single,tertiary,80,no,cellular,2015/2/22,676,146,failure
166,31,admin.,single,secondary,2104,yes,unknown,2015/2/23,455,-1,unknown
167,78,housemaid,married,secondary,499,no,telephone,2015/2/24,80,-1,unknown
168,45,blue-collar,divorced,secondary,1269,yes,cellular,2015/2/25,549,-1,unknown
169,48,technician,married,tertiary,310,no,unknown,2015/2/26,135,-1,unknown
170,32,blue-collar,single,secondary,1143,yes,cellular,2015/2/27,412,-1,unknown
171,42,technician,married,secondary,2980,no,unknown,2015/1/23,101,-1,unknown
172,37,management,single,tertiary,37,no,cellular,2015/1/24,253,-1,unknown
173,40,admin.,single,secondary,462,yes,cellular,2015/1/25,272,335,other
174,32,admin.,married,secondary,1031,yes,cellular,2015/1/26,84,-1,unknown
175,42,management,married,tertiary,9009,no,cellular,2015/1/27,135,-1,unknown
176,43,admin.,married,secondary,-465,yes,cellular,2015/1/28,166,-1,unknown
177,44,admin.,married,secondary,5181,yes,cellular,2015/1/29,18,-1,unknown
178,37,admin.,married,secondary,176,yes,cellular,2015/1/30,147,347,failure
179,37,unknown,married,unknown,1699,no,unknown,2015/1/31,63,-1,unknown
180,37,admin.,married,tertiary,0,yes,cellular,2015/2/1,65,119,failure
181,28,technician,single,tertiary,172,yes,cellular,2015/2/2,194,-1,unknown
182,32,services,single,secondary,0,no,cellular,2015/2/3,333,-1,unknown
183,34,admin.,single,secondary,6979,yes,cellular,2015/2/4,14,-1,unknown
184,40,admin.,divorced,secondary,6,no,unknown,2015/2/5,140,-1,unknown
185,34,services,married,secondary,-62,yes,unknown,2015/2/6,109,-1,unknown
186,34,self-employed,married,tertiary,1972,yes,cellular,2015/2/7,61,-1,unknown
187,34,admin.,married,tertiary,899,yes,telephone,2015/2/8,377,7,success
188,37,services,single,secondary,21,yes,cellular,2015/2/9,96,271,other
189,36,technician,married,secondary,23,yes,cellular,2015/2/10,152,347,failure
190,56,retired,married,secondary,-1206,yes,cellular,2015/2/11,382,-1,unknown
191,49,blue-collar,married,primary,0,yes,telephone,2015/2/12,97,-1,unknown
192,33,self-employed,married,secondary,215,yes,cellular,2015/2/13,543,-1,unknown
193,30,management,single,tertiary,1372,no,cellular,2015/2/14,240,-1,unknown
194,36,services,married,secondary,1981,no,unknown,2015/2/15,48,-1,unknown
195,23,student,single,secondary,9216,no,cellular,2015/2/16,471,-1,unknown
196,57,retired,divorced,secondary,39,yes,cellular,2015/2/17,354,-1,unknown
197,27,blue-collar,single,secondary,5563,yes,unknown,2015/2/18,435,-1,unknown
198,38,services,married,secondary,1,no,cellular,2015/2/19,152,-1,unknown
199,42,technician,married,tertiary,782,no,cellular,2015/2/20,285,-1,unknown
200,75,retired,married,secondary,3771,no,telephone,2015/2/21,185,181,success
201,34,technician,single,tertiary,992,yes,cellular,2015/2/22,301,88,success
202,48,technician,married,secondary,1526,no,cellular,2015/2/23,273,-1,unknown
203,35,technician,single,tertiary,2658,yes,cellular,2015/2/24,768,141,failure
204,39,management,divorced,tertiary,1315,yes,cellular,2015/2/25,1337,126,failure
205,29,blue-collar,single,tertiary,455,no,telephone,2015/2/26,403,-1,unknown
206,45,technician,single,tertiary,0,yes,cellular,2015/2/27,139,-1,unknown
207,42,technician,married,secondary,2030,yes,cellular,2015/2/28,196,-1,unknown
208,29,technician,married,secondary,1599,yes,cellular,2015/3/1,115,61,failure
209,38,services,single,secondary,-196,yes,cellular,2015/3/2,60,271,failure
210,56,retired,married,secondary,1333,no,cellular,2015/3/3,17,-1,unknown
211,36,technician,single,secondary,9149,yes,cellular,2015/3/4,141,-1,unknown
212,25,blue-collar,single,secondary,-350,yes,unknown,2015/3/5,95,-1,unknown
213,38,technician,married,tertiary,432,yes,cellular,2015/3/6,10,373,other
214,57,self-employed,married,secondary,11494,no,cellular,2015/3/7,198,-1,unknown
215,31,management,married,tertiary,-253,no,cellular,2015/3/8,220,-1,unknown
216,42,management,married,tertiary,372,yes,cellular,2015/3/9,654,-1,unknown
217,45,technician,married,secondary,1410,no,cellular,2015/3/10,71,-1,unknown
218,30,blue-collar,married,secondary,975,yes,cellular,2015/3/11,256,351,failure
219,49,blue-collar,married,primary,305,yes,telephone,2015/1/23,834,-1,unknown
220,49,services,married,secondary,400,no,cellular,2015/1/24,151,-1,unknown
221,53,retired,married,tertiary,-22,yes,cellular,2015/1/25,20,-1,unknown
222,37,technician,married,secondary,4030,yes,unknown,2015/1/26,178,-1,unknown
223,49,blue-collar,married,primary,365,no,unknown,2015/1/27,59,-1,unknown
224,41,self-employed,married,primary,204,no,cellular,2015/1/28,111,-1,unknown
225,54,management,married,primary,1691,yes,cellular,2015/1/29,186,-1,unknown
226,32,services,single,secondary,406,yes,unknown,2015/1/30,227,-1,unknown
227,33,technician,married,secondary,-204,no,cellular,2015/1/31,297,-1,unknown
228,33,technician,married,secondary,359,yes,cellular,2015/2/1,210,242,other
229,36,blue-collar,married,primary,123,yes,cellular,2015/2/2,9,-1,unknown
230,35,technician,married,tertiary,0,yes,cellular,2015/2/3,112,62,other
231,52,unknown,married,secondary,142,no,cellular,2015/2/4,112,-1,unknown
232,40,entrepreneur,married,tertiary,3571,no,unknown,2015/2/5,222,-1,unknown
233,44,technician,single,secondary,33,yes,cellular,2015/2/6,195,351,failure
234,45,blue-collar,single,secondary,0,yes,cellular,2015/2/7,768,91,success
235,30,student,single,secondary,3096,no,cellular,2015/2/8,123,-1,unknown
236,48,technician,divorced,secondary,20,no,cellular,2015/2/9,145,-1,unknown
237,33,blue-collar,married,secondary,3576,yes,cellular,2015/2/10,124,308,other
238,57,technician,married,unknown,206,yes,unknown,2015/2/11,216,-1,unknown
239,57,housemaid,married,primary,7082,no,unknown,2015/2/12,69,-1,unknown
240,51,unemployed,married,tertiary,1634,yes,cellular,2015/2/13,168,-1,unknown
241,34,admin.,single,secondary,1,yes,cellular,2015/2/14,483,-1,unknown
242,50,self-employed,married,tertiary,4012,no,cellular,2015/2/15,690,-1,unknown
243,44,management,married,tertiary,3762,no,cellular,2015/2/16,125,-1,unknown
244,27,admin.,married,secondary,-247,yes,unknown,2015/2/17,344,-1,unknown
245,50,blue-collar,married,secondary,606,yes,unknown,2015/2/18,673,-1,unknown
246,36,management,married,tertiary,0,yes,cellular,2015/2/19,60,250,other
247,42,management,married,secondary,-189,yes,unknown,2015/2/20,247,-1,unknown
248,32,unemployed,single,secondary,0,no,cellular,2015/2/21,123,-1,unknown
249,42,management,married,tertiary,484,yes,cellular,2015/2/22,144,-1,unknown
250,43,technician,married,secondary,0,no,cellular,2015/2/23,9,172,failure
251,31,management,married,tertiary,395,yes,cellular,2015/2/24,155,-1,unknown
252,32,management,married,tertiary,2349,no,cellular,2015/2/25,134,-1,unknown
253,55,blue-collar,divorced,primary,410,no,cellular,2015/2/26,221,-1,unknown
254,58,retired,married,primary,3401,yes,cellular,2015/2/27,84,265,failure
255,46,blue-collar,married,primary,222,no,cellular,2015/2/28,71,-1,unknown
256,55,blue-collar,married,secondary,989,yes,unknown,2015/3/1,246,-1,unknown
257,34,management,married,tertiary,415,no,cellular,2015/3/2,361,-1,unknown
258,28,unemployed,single,secondary,16,no,cellular,2015/3/3,119,-1,unknown
259,42,technician,divorced,tertiary,7190,yes,cellular,2015/3/4,375,-1,unknown
260,29,blue-collar,single,secondary,482,no,cellular,2015/3/5,1097,-1,unknown
261,54,housemaid,married,secondary,209,yes,cellular,2015/3/6,97,-1,unknown
262,32,technician,single,secondary,0,no,cellular,2015/1/23,181,-1,unknown
263,39,technician,single,tertiary,5803,no,cellular,2015/1/24,83,-1,unknown
264,53,entrepreneur,married,tertiary,624,no,cellular,2015/1/25,180,-1,unknown
265,58,technician,married,tertiary,883,no,cellular,2015/1/26,543,78,failure
266,40,self-employed,married,secondary,1516,yes,unknown,2015/1/27,373,-1,unknown
267,29,student,single,secondary,872,yes,unknown,2015/1/28,230,-1,unknown
268,33,technician,married,tertiary,-988,yes,cellular,2015/1/29,83,-1,unknown
269,38,admin.,single,secondary,902,yes,telephone,2015/1/30,58,-1,unknown
270,56,services,divorced,secondary,1007,no,cellular,2015/1/31,88,-1,unknown
271,40,services,married,secondary,0,yes,cellular,2015/2/1,297,28,failure
272,24,blue-collar,single,secondary,174,yes,cellular,2015/2/2,487,-1,unknown
273,46,management,married,secondary,12186,no,unknown,2015/2/3,29,-1,unknown
274,35,self-employed,married,secondary,524,yes,cellular,2015/2/4,484,-1,unknown
275,35,blue-collar,single,tertiary,0,yes,cellular,2015/2/5,262,-1,unknown
276,34,technician,married,secondary,4,yes,unknown,2015/2/6,644,-1,unknown
277,35,housemaid,married,tertiary,11219,no,cellular,2015/2/7,699,79,failure
278,38,technician,single,tertiary,0,no,cellular,2015/2/8,247,-1,unknown
279,50,blue-collar,married,primary,5776,no,cellular,2015/2/9,49,-1,unknown
280,51,blue-collar,divorced,primary,37,yes,cellular,2015/2/10,341,-1,unknown
281,59,self-employed,married,tertiary,593,no,unknown,2015/2/11,64,-1,unknown
282,32,blue-collar,married,secondary,1148,yes,cellular,2015/2/12,121,-1,unknown
283,37,blue-collar,single,secondary,3561,yes,unknown,2015/2/13,98,-1,unknown
284,42,admin.,divorced,secondary,63,no,unknown,2015/2/14,88,-1,unknown
285,40,student,married,secondary,260,no,unknown,2015/2/15,197,-1,unknown
286,28,technician,single,tertiary,2269,yes,unknown,2015/2/16,331,-1,unknown
287,47,admin.,married,secondary,1060,yes,unknown,2015/2/17,83,-1,unknown
288,27,self-employed,married,secondary,-220,yes,unknown,2015/2/18,138,-1,unknown
289,41,management,married,tertiary,49,yes,cellular,2015/2/19,312,-1,unknown
290,34,admin.,married,tertiary,69,no,cellular,2015/2/20,120,1,success
291,50,blue-collar,married,primary,4108,yes,cellular,2015/2/21,526,-1,unknown
292,47,blue-collar,married,secondary,480,yes,unknown,2015/2/22,211,-1,unknown
293,53,services,married,secondary,4994,no,cellular,2015/2/23,62,-1,unknown
294,53,technician,divorced,secondary,0,yes,cellular,2015/2/24,135,-1,unknown
295,47,management,married,tertiary,3681,no,cellular,2015/2/25,101,-1,unknown
296,49,entrepreneur,divorced,unknown,-701,yes,cellular,2015/2/26,988,-1,unknown
297,29,management,married,tertiary,451,no,cellular,2015/2/27,451,-1,unknown
298,45,blue-collar,divorced,primary,-311,yes,unknown,2015/2/28,1030,-1,unknown
299,38,entrepreneur,married,secondary,593,yes,cellular,2015/3/1,1484,-1,unknown
300,32,blue-collar,married,secondary,759,yes,cellular,2015/3/2,317,-1,unknown
301,70,retired,divorced,primary,4531,no,cellular,2015/3/3,445,-1,unknown
302,65,retired,divorced,primary,1840,no,cellular,2015/3/4,383,188,failure
303,56,blue-collar,married,secondary,345,yes,telephone,2015/3/5,605,-1,unknown
304,35,blue-collar,married,secondary,1287,yes,cellular,2015/1/23,330,-1,unknown
305,56,management,married,unknown,353,no,cellular,2015/1/24,171,-1,unknown
306,56,technician,married,secondary,205,no,cellular,2015/1/25,442,-1,unknown
307,49,entrepreneur,married,secondary,687,yes,cellular,2015/1/26,772,-1,unknown
308,38,unemployed,married,primary,1147,yes,unknown,2015/1/27,249,-1,unknown
309,35,management,married,tertiary,4286,yes,unknown,2015/1/28,357,-1,unknown
310,38,admin.,married,tertiary,605,no,cellular,2015/1/29,147,-1,unknown
311,49,blue-collar,married,secondary,8545,yes,cellular,2015/1/30,199,167,failure
312,55,management,married,unknown,559,no,cellular,2015/1/31,271,-1,unknown
313,43,blue-collar,single,primary,2,yes,cellular,2015/2/1,783,-1,unknown
314,43,management,married,tertiary,2,no,cellular,2015/2/2,472,-1,unknown
315,25,admin.,single,tertiary,760,yes,cellular,2015/2/3,223,89,failure
316,30,blue-collar,married,primary,1317,yes,unknown,2015/2/4,395,-1,unknown
317,46,blue-collar,married,secondary,182,no,cellular,2015/2/5,56,-1,unknown
318,50,admin.,married,primary,276,no,unknown,2015/2/6,641,-1,unknown
319,35,entrepreneur,married,secondary,2971,no,cellular,2015/2/7,429,164,failure
320,26,unemployed,single,secondary,1064,no,unknown,2015/2/8,113,-1,unknown
321,45,admin.,married,unknown,1783,no,unknown,2015/2/9,11,-1,unknown
322,37,blue-collar,married,secondary,-67,no,cellular,2015/2/10,157,-1,unknown
323,60,self-employed,single,tertiary,179,no,cellular,2015/2/11,79,-1,unknown
324,38,management,married,tertiary,1199,no,cellular,2015/2/12,178,1,success
325,47,blue-collar,married,primary,214,yes,unknown,2015/2/13,168,-1,unknown
326,33,technician,married,secondary,6699,no,cellular,2015/2/14,425,462,failure
327,51,unemployed,married,secondary,1760,no,cellular,2015/2/15,162,-1,unknown
328,35,entrepreneur,single,tertiary,145,yes,cellular,2015/2/16,799,-1,unknown
329,35,unemployed,married,secondary,978,no,cellular,2015/2/17,1370,209,success
330,48,admin.,single,secondary,1150,yes,unknown,2015/2/18,357,-1,unknown
331,37,admin.,married,secondary,121,no,cellular,2015/2/19,22,-1,unknown
332,29,technician,single,tertiary,828,yes,cellular,2015/2/20,215,321,other
333,34,admin.,married,secondary,244,yes,cellular,2015/2/21,56,-1,unknown
334,32,services,married,primary,228,yes,cellular,2015/2/22,1017,-1,unknown
335,30,management,single,tertiary,424,no,cellular,2015/2/23,298,-1,unknown
336,47,management,divorced,tertiary,447,no,unknown,2015/2/24,126,-1,unknown
337,33,blue-collar,married,primary,-195,no,unknown,2015/2/25,9,-1,unknown
338,33,management,single,tertiary,1410,yes,cellular,2015/2/26,8,254,failure
339,63,retired,married,primary,1084,no,cellular,2015/2/27,201,183,success
340,51,self-employed,divorced,primary,10924,no,cellular,2015/2/28,106,-1,unknown
341,41,management,married,tertiary,832,yes,cellular,2015/3/1,164,176,failure
342,56,retired,married,tertiary,478,no,cellular,2015/3/2,97,-1,unknown
343,60,management,single,tertiary,0,no,cellular,2015/3/3,151,-1,unknown
344,41,self-employed,single,tertiary,3950,yes,unknown,2015/3/4,96,-1,unknown
345,37,management,single,unknown,504,yes,cellular,2015/1/23,555,-1,unknown
346,36,blue-collar,single,secondary,219,yes,cellular,2015/1/24,270,347,failure
347,57,management,married,tertiary,1602,no,cellular,2015/1/25,339,-1,unknown
348,55,management,married,primary,2587,no,cellular,2015/1/26,328,94,success
349,44,admin.,married,secondary,0,yes,unknown,2015/1/27,159,-1,unknown
350,47,self-employed,married,tertiary,2303,yes,cellular,2015/1/28,323,364,failure
351,31,blue-collar,married,secondary,1660,yes,cellular,2015/1/29,342,-1,unknown
352,35,management,married,tertiary,32,yes,cellular,2015/1/30,180,-1,unknown
353,39,management,married,tertiary,278,no,cellular,2015/1/31,60,-1,unknown
354,50,management,married,tertiary,4,no,cellular,2015/2/1,223,96,failure
355,29,management,married,tertiary,318,yes,cellular,2015/2/2,1434,356,failure
356,30,services,single,secondary,209,yes,unknown,2015/2/3,30,-1,unknown
357,46,services,married,secondary,271,yes,unknown,2015/2/4,134,-1,unknown
358,27,management,single,unknown,3196,no,cellular,2015/2/5,10,-1,unknown
359,48,admin.,divorced,secondary,4099,no,cellular,2015/2/6,397,-1,unknown
360,26,student,single,secondary,2572,yes,cellular,2015/2/7,620,-1,unknown
